Nama,Daerah
Abdul Muis,Sumatera Barat
Ki Hajar Dewantara,DIY
Suryopranoto,Jakarta
Mohammad Husni Thamrin,Jakarta
Agus Salim,Sumatera Barat
Ahmad Dahlan,DIY
Cokroaminoto,Jawa Timur
Ernest Douwes Dekker,Jawa Timur
Sam Ratulangi,Sulawesi Utara
Samanhudi,Jawa Tengah
Sisingamangaraja XII,Sumatera Utara
Soetomo,Jawa Timur
Ferdinand Lumbantobing,Sumatera Utara
Gatot Subroto,Jawa Tengah
Sukarjo Wiryopranoto,Jawa Tengah
Juanda Kartawijaya,Jawa Barat
Saharjo,Jawa Tengah
Albertus Sugiyapranata,Jawa Tengah
Tan Malaka,Sumatera Barat
Zainul Arifin,Sumatera Utara
Alimin,Jawa Tengah
Cipto Mangunkusumo,Jawa Tengah
Cut Nyak Dhien,Aceh
Fakhruddin,DIY
Hasyim Asy'ari,Jawa Timur
Kartini,Jawa Tengah
Mas Mansur,Jawa Timur
Cut Nyak Meutia,Aceh
Muwardi,Jawa Tengah
Pakubuwono VI,DIY
Sudirman,Jawa Tengah
Suryo,Jawa Timur
Urip Sumoharjo,Jawa Tengah
Wahid Hasyim,Jawa Timur
Ahmad Yani,Jawa Tengah
Donald Izacus Panjaitan,Sumatera Utara
Karel Satsuit Tubun,Maluku
Katamso Darmokusumo,Jawa Tengah
Kusumah Atmaja,Jawa Barat
Mas Tirtodarmo Haryono,Jawa Timur
Pierre Tendean,Jakarta
Siswondo Parman,Jawa Tengah
Sugiyono Mangunwiyoto,DIY
Supomo,Jawa Tengah
Suprapto,Jawa Tengah
Sutoyo Siswomiharjo,Jawa Tengah
Dewi Sartika,Jawa Barat
Eddy Martadinata,Jawa Barat
Sutan Syahrir,Sumatera Barat
Antasari,Kalimantan Selatan
Harun Bin Said,Jawa Timur
Janatin,Jawa Tengah
Wilhelmus Zakaria Johannes,NTT
Arie Frederik Lasut,Sulawesi Utara
Basuki Rahmat,Jawa Timur
Maria Walanda Maramis,Sulawesi Utara
Martha Christina Tiahahu,Maluku
Supeno,Jawa Tengah
Tirtayasa,Banten
Siti Walidah,DIY
Wage Rudolf Supratman,Jawa Timur
Zainal Mustafa,Jawa Barat
Teungku Chik di Tiro,Aceh
Diponegoro,Jawa Tengah
Hasanuddin,Sulawesi Selatan
Tuanku Imam Bonjol,Sumatera Barat
Muhammad Yamin,Sumatera Barat
Oto Iskandar di Nata,Jawa Barat
Pattimura,Maluku
Robert Wolter Monginsidi,Sulawesi Utara
Suharso,Jawa Tengah
Teuku Umar,Aceh
Wahidin Sudirohusodo,Jawa Tengah
Yos Sudarso,Jawa Tengah
Abdul Rahman Saleh,DIY
Nyi Ageng Serang,Jawa Tengah
Agustinus Adisucipto,Jawa Tengah
Teuku Nyak Arif,Aceh
Rasuna Said,Sumatera Barat
Amir Hamzah,Sumatera Utara
Halim Perdanakusuma,Jawa Timur
Iswahyudi,Jawa Timur
I Gusti Ngurah Rai,Bali
Sultan Agung,Jawa Tengah
Supriyadi,Jawa Timur
Untung Surapati,Bali
Thaha Syaifuddin,Jambi
Mahmud Badaruddin II,Sumatera Selatan
Radin Inten II,Sumatera Selatan
Suroso,Jawa Timur
Mangkunegara I,Jawa Tengah
Hamengkubuwono IX,DIY
Frans Kaisiepo,Papua
Iskandar Muda,Aceh
I Gusti Ketut Jelantik,Bali
Marthen Indey,Papua
Silas Papare,Papua
Nuku Muhammad Amiruddin,Maluku Utara
Tuanku Tambusai,Riau
Yusuf Tajul Khalwati,Sulawesi Selatan
Siti Hartinah,Jawa Tengah
Raja Haji Fisabilillah,Riau
Adam Malik,Sumatera Utara
Cilik Riwut,Kalimantan Tengah
La Maddukelleng,Sulawesi Selatan
Syarif Kasim II,Riau
Abdul Kadir,Kalimantan Barat
Hazairin,Sumatera Barat
Ilyas Yakoub,Sumatera Barat
Fatmawati,Bengkulu
Hasan Basri,Kalimantan Selatan
Ranggong Daeng Romo,Sulawesi Selatan
Abdul Haris Nasution,Sumatera Utara
Iwa Kusumasumantri,Jawa Barat
Jatikusumo,Jawa Tengah
Andi Jemma,Sulawesi Selatan
Pong Tiku,Sulawesi Selatan
Nani Wartabone,Gorontalo
Ahmad Rifa'i,Jawa Tengah
Gatot Mangkupraja,Jawa Barat
Ismail Marzuki,Jakarta
Andi Mappanyukki,Sulawesi Selatan
Maskun Sumadireja,Jawa Barat
Raja Ali Haji,Riau
Andi Abdullah Bau Massepe,Sulawesi Selatan
Bagindo Azizchan,Sumatera Barat
Kiras Bangun,Sumatera utara
Hamengkubuwono I,DIY
Izaak Huru Doko,NTT
Teuku Muhammad Hasan,Aceh
Noer Alie,Jawa Barat
Opu Daeng Risaju,Sulawesi Selatan
Pajonga Daeng Ngalie,Sulawesi Selatan
Andi Sultan Daeng Radja,Sulawesi Selatan
Tirto Adhi Suryo,Jawa Tengah
Adnan Kapau Gani,Sumatera Barat
Ida Anak Agung Gde Agung,Bali
Mustopo,Jawa Tmur
Slamet Riyadi,Jawa tengah
Abdul Halim Majalengka,Jawa Barat
Mohammad Natsir,Sumatera Barat
Sutomo,Jawa Timur
Achmad Subarjo,Jawa Barat
Herman Johannes,NTT
John Lie,Sulawesi Utara
Johannes Abraham Dimara,Papua
Johannes Leimena,Maluku
Abdul Malik Karim Amrullah,Sumatera Barat
Idham Chalid,Kalimantan Selatan
Ignatius Joseph Kasimo,DIY
I Gusti Ketut Puja,Bali
Ki Sarmidi Mangunsarkoro,Jawa Tengah
Pakubuwono X,Jawa Tengah
Syafruddin Prawiranegara,Banten
Mohammad Hatta,Sumatera Barat
Sukarno,Jawa Timur
Lambertus Nicodemus Palar,Sulawesi utara
Rajiman Wediodiningrat,DIY
Tahi Bonar Simatupang,Sumatera Utara
Abdul Wahab Hasbullah,Jawa Timur
Jamin Ginting,Sumatera Utara
Muhammad Mangundiprojo,Jawa Tengah
Sukarni,Jawa Timur
Bernard Wilhelm Lapian,Sulawesi Utara
Ki Bagus Hadikusumo,DIY
Mas Isman,Jawa Timur
Mohammad Yasin,Sulawesi Tenggara
I Gusti Ngurah Made Agung,Bali
As'ad Syamsul Arifin,Jawa Timur
Lafran Pane,Sumatera Utara
Sultan Mahmud Riayat Syah,Riau
Malahayati,Aceh
Muhammad Zainuddin Abdul Madjid,NTB
Abdurrahman Baswedan,Jawa Timur
Andi Depu,Sulawesi Barat
Depati Amir,NTT
Kasman Singodimedjo,Jawa Tengah
Pangeran Muhammad Noor,Kalimantan Selatan
Syam'un,Banten
Abdul Kahar Mudzakkir,Jawa Tengah
Alexander Andries Maramis,Sulawesi Utara
Himayatuddin Muhammad Saidi,Sulawesi Tenggara
Masykur,Jawa Timur
Ruhana Kuddus,Sumatera Barat
Sarjito,Jawa Timur
